DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
3306,"St Malachy's Catholic Primary School, A Voluntary Academy",Primary,Academy converter,Headteacher,Mrs Lianne Lomas,Furness Place,Illingworth,"",Halifax,HX2 8JY,Ovenden,014222 244628,http://www.stmalachysprimary.org.uk,Yes,169,2022-01-20 00:00:00,407097,427389,53.74285,-1.89388,North Halifax,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,"","",10006745060
3308,St Mary's Catholic Primary Academy,Primary,Academy converter,Headteacher,Miss Jenna Smith,Swires Road,"","",Halifax,HX1 2ER,Skircoat,014223 362365,http://www.stmaryshalifax.co.uk/,No,292,,408642,424698,53.71864,-1.87053,Elland,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,"","",10006731096
3011,St Mary's CofE (VC) J and I School,Primary,Voluntary controlled school,Headteacher,Ms Yvette Sullivan,Mill Bank,"","",Sowerby Bridge,HX6 3EJ,Ryburn,014228 823353,http://www.st-marys.calderdale.sch.uk/,No,99,2022-01-20 00:00:00,403478,421340,53.68852,-1.94881,Sowerby Bridge,"","","",10010182664
5202,St Michael and All Angels CofE Primary & Pre School,Primary,Foundation school,Headteacher,Mrs Claire Berry,Meadow Close,Greenacres Estate,Shelf,Halifax,HX3 7QU,Northowram and Shelf,012746 676246,http://www.st-michaelangels.calderdale.sch.uk/,No,187,2022-01-20 00:00:00,412779,428713,53.75464,-1.80767,East Calderdale,"","","",10006732687
3327,St Patrick's Catholic Primary Academy,Primary,Academy converter,Headteacher,Mrs Lianne Lomas,Hullen Edge Road,"","",Elland,HX5 0QY,Elland,014223 373104,www.stpatselland.org.uk/,Yes,122,,409740,420775,53.68336,-1.85401,Elland,BLESSED PETER SNOW CATHOLIC ACADEMY TRUST,"","",100000000000
2057,Stubbings Infant School,Primary,Community school,Executive Headteacher,Ms Lucy Caswell,School Street,"","",Hebden Bridge,HX7 8BP,Calder,014228 842728,www.stubbingsinfantschool.co.uk/,Yes,42,2022-01-20 00:00:00,399382,427322,53.74229,-2.01085,Calder Valley,"","",Hebden Bridge Schools Federation,100000000000
5405,The Brooksbank School,Secondary,Academy converter,Headteacher,Mr Dave Hewitt,Victoria Road,"","",Elland,HX5 0QG,Elland,014223 374791,http://www.bbs.calderdale.sch.uk,No,1711,2022-01-20 00:00:00,410071,420542,53.68126,-1.84901,Secondary,THE BROOKSBANK SCHOOL SPORTS COLLEGE,"","",100000000000
4022,The Calder Learning Trust,All-through,Foundation school,Headteacher,Mr Anthony Guise,Brier Hey Lane,Mytholmroyd,"",Hebden Bridge,HX7 5QN,Luddendenfoot,014228 883213,https://www.calderlearningtrust.com,No,1387,2022-01-20 00:00:00,401726,426247,53.73263,-1.97532,Calder Valley,Calder Learning Trust,"","",100000000000
4022,The Calder Learning Trust,All-through,Foundation school,Headteacher,Mr Anthony Guise,Brier Hey Lane,Mytholmroyd,"",Hebden Bridge,HX7 5QN,Luddendenfoot,014228 883213,https://www.calderlearningtrust.com,No,1387,2022-01-20 00:00:00,401726,426247,53.73263,-1.97532,Secondary,Calder Learning Trust,"","",100000000000
5401,The Crossley Heath School,Secondary,Academy converter,Headteacher,Mrs Lynnette Cassidy,Savile Park,"","",Halifax,HX3 0HG,Skircoat,014223 360272,http://www.crossleyheath.org.uk,No,1155,2022-01-20 00:00:00,408140,423921,53.71166,-1.87815,Secondary,THE CROSSLEY HEATH SCHOOL ACADEMY TRUST LIMITED,"","",100000000000
2049,The Greetland Academy,Primary,Academy converter,Executive Principal,Mrs Helen Crowther,School Street,Greetland,"",Halifax,HX4 8JB,Greetland and Stainland,014223 372893,www.greetlandacademy.org.uk,No,406,2022-01-20 00:00:00,408597,421403,53.68902,-1.87130,Elland,GREAT HEIGHTS ACADEMY TRUST,Great Heights Academy Trust,"",100000000000
4035,The Halifax Academy,All-through,Academy converter,Headteacher,Mr Matt Perry,Gibbet Street,"","",Halifax,HX2 0BA,Warley,014223 301080,http://www.thehalifaxacademy.org,No,1420,2022-01-20 00:00:00,407205,425229,53.72422,-1.89359,Secondary,IMPACT EDUCATION MULTI ACADEMY TRUST,Impact Education Multi Academy Trust,"",10093206220
