DfE number,Establishment,Phase,Status,Head title,Head name,Address 1,Address 2,Address 3,Address 4,Postcode,School ward,Telephone,Website,Nursery,Number of pupils on roll,Census date,Eastings,Northings,Latitude,Longitude,Cluster,Trust name,Sponsor name,Federation name,UPRN
3318,"Elland Church of England (Voluntary Aided) Junior, Infant and Nursery School",Primary,Voluntary aided school,Headteacher,Miss L Hartley,Westgate,"","",Elland,HX5 0BB,Elland,014223 373159,http://www.elland.calderdale.sch.uk/,Yes,174,2022-01-20 00:00:00,410708,421039,53.68571,-1.83935,Elland,"","","",100000000000
2003,Ferney Lee Primary School,Primary,Community school,Headteacher (Interim),Mrs Kelly Williams,Ferney Lee Road,"","",Todmorden,OL14 5NR,Todmorden,017062 254848,http://www.ferneylee.calderdale.sch.uk/,Yes,204,2022-01-20 00:00:00,393384,424960,53.72102,-2.10174,Todmorden,"","","",10006749995
2000,Field Lane Primary School,Primary,Academy sponsor led,"",Mrs Caroline Howarth,Burnsall Road,Rastrick,"",Brighouse,HD6 3JT,Rastrick,014847 713792,www.fieldlane.polarismat.org.uk,Yes,103,2022-01-20 00:00:00,413252,421506,53.68986,-1.80080,East Calderdale,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,"",100000000000
3319,Hebden Royd CofE VA Primary School,Primary,Voluntary aided school,Headteacher,Mr Robert Paton,Church Lane,"","",Hebden Bridge,HX7 6DS,Calder,014228 842821,www.hebdenroydprimary.org.uk/,Yes,96,2022-01-20 00:00:00,398432,427480,53.74371,-2.02526,Calder Valley,"","","",100000000000
2058,Heptonstall Junior Infant and Nursery School,Primary,Community school,Headteacher,Mr David Perrin,Smithwell Lane,Heptonstall,"",Hebden Bridge,HX7 7NX,Calder,014228 842533,http://www.heptonstallschool.org.uk/,Yes,69,2022-01-20 00:00:00,398545,428194,53.75013,-2.02355,Calder Valley,"","","",10006744447
7010,Highbury School,Special primary,Community special school,Headteacher,Mrs Debbie Sweet,Lower Edge Road,Rastrick,"",Brighouse,HD6 3LD,Rastrick,014847 716319,http://www.highburyschool.co.uk,No,105,2022-01-20 00:00:00,413338,421241,53.68747,-1.79951,Special,"","","",100000000000
3331,"Holy Trinity Primary School, A Church of England Academy",Primary,Academy converter,Headteacher,Jamie Chapman,Savile Park Road,"","",Halifax,HX1 2ES,Skircoat,014223 367161,http://www.holytrinitycofecalderdale.org.uk/,Yes,405,2022-01-20 00:00:00,408673,424602,53.71783,-1.87004,North Halifax,"HOLY TRINITY PRIMARY SCHOOL, A CHURCH OF ENGLAND ACADEMY","","",10035031950
2050,Holywell Green Primary School,Primary,Community school,Headteacher,Mr Paul McVeigh,Stainland Road,Holywell Green,"",Halifax,HX4 9AE,Greetland and Stainland,014223 374369,http://www.holywellgreenschool.co.uk,Yes,194,2022-01-20 00:00:00,408618,419761,53.67427,-1.87102,Elland,"","","",10010181822
2010,Lee Mount Primary School,Primary,Community school,Headteacher,Mrs Emme Ford,Lee Mount Road,Lee Mount,"",Halifax,HX3 5EB,Ovenden,014223 352856,http://www.leemount.calderdale.sch.uk/,Yes,341,2022-01-20 00:00:00,408189,426254,53.73263,-1.87735,North Halifax,"","","",100000000000
5404,Lightcliffe Academy,Secondary,Academy sponsor led,Principal,Mrs Rosalinda Wood-Ives,Stoney Lane,Lightcliffe,"",Halifax,HX3 8TL,Hipperholme and Lightcliffe,014222 201028,http://www.lightcliffeacademy.co.uk/,No,1041,2022-01-20 00:00:00,413993,425148,53.72257,-1.78942,Secondary,ABBEY MULTI ACADEMY TRUST,Abbey Multi Academy Trust,"",100000000000
5204,Lightcliffe C of E Primary School,Primary,Academy converter,Headteacher,Graham Hilton,Wakefield Road,Lightcliffe,"",Halifax,HX3 8SH,Hipperholme and Lightcliffe,014222 202235,http://www.lightcliffeceprimary.co.uk/,No,411,2022-01-20 00:00:00,413358,425525,53.72597,-1.79903,East Calderdale,ABBEY MULTI ACADEMY TRUST,Abbey Multi Academy Trust,"",10006732794
2033,"Ling Bob Junior, Infant and Nursery School",Primary,Community school,Headteacher,Mr Philip Simpson,Albert Road,Pellon,"",Halifax,HX2 0QD,Warley,014224 434000,http://www.lingbob.calderdale.sch.uk,Yes,346,2022-01-20 00:00:00,406816,425747,53.72809,-1.89818,North Halifax,"","","",100000000000
5207,Longroyde Primary School,Primary,Foundation school,Executive Headteacher,Mr Robert Fox,Longroyde Road,Rastrick,"",Brighouse,HD6 3AS,Rastrick,014847 715300,http://www.longroyde.org.uk,Yes,396,2022-01-20 00:00:00,413978,422285,53.69684,-1.78978,East Calderdale,"","","",10010188522
3014,Luddenden CofE School,Primary,Voluntary controlled school,Headteacher,Mrs Lisa Hoyle,Dene View,Luddendenfoot,"",Halifax,HX2 6PB,Luddendenfoot,014228 886353,http://www.luddenden-ce.calderdale.sch.uk,Yes,125,2022-01-20 00:00:00,403964,425610,53.72689,-1.94140,Calder Valley,"","","",10006745837
2064,Luddendenfoot Academy,Primary,Academy converter,Headteacher,Carolyn Greenwood,Burnley Road,Luddendenfoot,"",Halifax,HX2 6AU,Luddendenfoot,014228 882298,http://www.luddfoot.polarismat.org.uk,No,190,2022-01-20 00:00:00,404092,424428,53.71626,-1.93948,Calder Valley,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,"",10010152479
2065,Midgley School,Primary,Community school,Headteacher,Miss Joanne Mansfield,Lane Ends,Midgley,"",Halifax,HX2 6TX,Luddendenfoot,014228 882356,http://www.midgleyschool.org.uk/,No,96,2022-01-20 00:00:00,403463,426256,53.73270,-1.94899,Calder Valley,"","","",10006746000
3332,Moorside Community Primary School,Primary,Community school,"",Mrs Heidi Higgs,Keighley Road,Ovenden,"",Halifax,HX2 8AP,Ovenden,014223 365236,http://www.moorside-primary.org.uk/,Yes,225,2022-01-20 00:00:00,407786,427576,53.74503,-1.88396,North Halifax,"","","",100000000000
2002,Mount Pellon Primary Academy,Primary,Academy sponsor led,"",Mrs Ruth Collyer,Battinson Road,"","",Halifax,HX1 4RG,Warley,014223 349618,https://mpa.northerneducationtrust.org/,Yes,340,2022-01-20 00:00:00,407662,425632,53.72705,-1.88535,North Halifax,NORTHERN EDUCATION TRUST,Northern Education Trust,"",100000000000
2066,New Road Primary School,Primary,Community school,Headteacher,Mrs Sharon Harwood,Sowerby New Road,"","",Sowerby Bridge,HX6 1DY,Sowerby Bridge,014228 831351,http://www.newroadprimarycalderdale.org.uk,No,151,2022-01-20 00:00:00,405454,423390,53.70693,-1.91886,Sowerby Bridge,"","","",10006749070
3010,Norland CE School,Primary,Voluntary controlled school,Headteacher,Mrs Yvette Sullivan,Berry Moor Road,Norland,"",Sowerby Bridge,HX6 3RN,Greetland and Stainland,014228 831602,http://www.norland.calderdale.sch.uk,No,90,2022-01-20 00:00:00,406601,422632,53.70010,-1.90149,Sowerby Bridge,"","","",10006746585
2015,Northowram Primary School,Primary,Community school,Headteacher,Mrs Jane Scardifield,Baxter Lane,Northowram,"",Halifax,HX3 7EF,Northowram and Shelf,014222 202704,http://northowram.calderdale.sch.uk/,Yes,445,2022-01-20 00:00:00,411133,427202,53.74110,-1.83269,East Calderdale,"","","",100000000000
2083,Old Earth Primary School,Primary,Academy converter,Headteacher,Mr Daniel Burns,Lower Edge Road,"","",Elland,HX5 9PL,Elland,014223 375316,http://www.oldearth.co.uk/,Yes,450,2022-01-20 00:00:00,412026,421347,53.68845,-1.81938,Elland,OLD EARTH SCHOOL,"","",200000000000
2075,Old Town Primary School,Primary,Community school,Headteacher,Mrs Joanne Buckley,Billy Lane,Wadsworth,"",Hebden Bridge,HX7 8RY,Calder,014228 842859,http://www.oldtown.calderdale.sch.uk,No,80,2022-01-20 00:00:00,400326,428200,53.75019,-1.99653,Calder Valley,"","","",10010161606
4004,Park Lane Academy,Secondary,Academy sponsor led,"",Mr Kash Rafiq,Park Lane,Exley,"",Halifax,HX3 9LG,Town,014223 362215,http://parklane.org.uk/,No,458,2022-01-20 00:00:00,410099,422407,53.69802,-1.84851,Secondary,SOUTH PENNINE ACADEMIES,SOUTH PENNINE ACADEMIES,"",100000000000
2017,Parkinson Lane Community Primary School,Primary,Community school,Headteacher,Mr Gulfaraz Ahmed,Parkinson Lane,"",Parkinson Lane Community Primary School,Halifax,HX1 3XL,Park,014223 362227,www.parkinsonlane.com,Yes,577,2022-01-20 00:00:00,408069,424595,53.71772,-1.87921,Todmorden,"","","",10010180286
5402,Rastrick High School,Secondary,Academy converter,Headteacher,Mr Mathew Williams,Field Top Road,Rastrick,"",Brighouse,HD6 3XB,Rastrick,014847 710235,http://www.rastrick.calderdale.sch.uk,No,1673,2022-01-20 00:00:00,413852,422236,53.69640,-1.79169,Secondary,POLARIS MULTI ACADEMY TRUST,Polaris Multi Academy Trust,"",100000000000
7009,Ravenscliffe High School,Special secondary,Community special school,Headteacher,Dr Christine Lingard,Skircoat Green,"","",Halifax,HX3 0RZ,Skircoat,014223 358621,http://www.ravenscliffe.calderdale.sch.uk,No,224,2022-01-20 00:00:00,408991,422848,53.70201,-1.86529,Special,"","","",10006743060
2061,Ripponden Junior and Infant School,Primary,Community school,Headteacher,Mrs Lorraine Bamforth,Halifax Road,Ripponden,"",Sowerby Bridge,HX6 4AH,Ryburn,014228 823362,www.ripponden.calderdale.sch.uk,No,193,2022-01-20 00:00:00,404209,420040,53.67683,-1.93776,Sowerby Bridge,"","","",10006747512
2082,Riverside Junior School,Primary,Community school,Headteacher,Ms Lucy Caswell,Holme Street,"","",Hebden Bridge,HX7 8EE,Calder,014228 842154,www.riversidejunior.co.uk/,No,148,2022-01-20 00:00:00,399134,427133,53.74060,-2.01461,Calder Valley,"","",Hebden Bridge Schools Federation,100000000000
