AtcoCode,CommonName,StopType,ShortCommonName,Street,Longitude,Latitude,ModifiedDate,CreatedDate,LocalityName,Easting,Northing
700000010604,Lintons House Lisachrin,BusCoachTramOnStreetPoint,,,-6.6831161,54.9543602379,09/07/2020,09/07/2020,Coleraine,284420,412662
700000010605,Ballylame Rd,BusCoachTramOnStreetPoint,,,-6.6788670976,54.9411356035,09/07/2020,09/07/2020,Coleraine,284720,411195
700000010606,Ballylame,BusCoachTramOnStreetPoint,,,-6.6771696819,54.9377034753,09/07/2020,09/07/2020,Coleraine,284836,410815
700000010607,Tamnyrankin Rd,BusCoachTramOnStreetPoint,,,-6.6731034308,54.9304095919,09/07/2020,09/07/2020,Coleraine,285112,410008
700000010608,Laragh Rd,BusCoachTramOnStreetPoint,,,-6.6690411244,54.9225676134,09/07/2020,09/07/2020,Coleraine,285389,409140
700000010609,Swatragh Factory,BusCoachTramOnStreetPoint,,,-6.6646542954,54.9127994694,09/07/2020,09/07/2020,Coleraine,285691,408058
700000010610,Swatragh Factory,BusCoachTramOnStreetPoint,,,-6.664728836,54.9124319694,09/07/2020,09/07/2020,Coleraine,285687,408017
700000010611,Laragh Rd,BusCoachTramOnStreetPoint,,,-6.669197929,54.9225423804,09/07/2020,09/07/2020,Coleraine,285379,409137
700000010612,Tamnyrankin Rd,BusCoachTramOnStreetPoint,,,-6.673472832,54.9315095934,09/07/2020,09/07/2020,Coleraine,285086,410130
700000010613,Ballylame,BusCoachTramOnStreetPoint,,,-6.6770764208,54.9372173599,09/07/2020,09/07/2020,Coleraine,284843,410761
700000010614,Ballylame Rd,BusCoachTramOnStreetPoint,,,-6.6788017667,54.9407486101,09/07/2020,09/07/2020,Coleraine,284725,411152
700000010615,Lintons House,BusCoachTramOnStreetPoint,,,-6.6832989426,54.9544969678,09/07/2020,09/07/2020,Coleraine,284408,412677
700000010616,Magheramore Rd,BusCoachTramOnStreetPoint,,,-6.6873186017,54.9657426049,09/07/2020,09/07/2020,Coleraine,284127,413924
700000010617,The Cottages,BusCoachTramOnStreetPoint,,,-6.6902998716,54.9729703592,09/07/2020,09/07/2020,Coleraine,283921,414725
700000010618,Boylans Corner,BusCoachTramOnStreetPoint,,,-6.6911286314,54.9758179959,09/07/2020,09/07/2020,Coleraine,283862,415041
700000010619,Ballinameen,BusCoachTramOnStreetPoint,,,-6.6893394302,54.9784847251,09/07/2020,09/07/2020,Coleraine,283971,415340
700000010620,Garvagh High School,BusCoachTramOnStreetPoint,,,-6.688399215,54.9804958248,09/07/2020,09/07/2020,Coleraine,284027,415565
700000010621,Main Street Garvagh,BusCoachTramOnStreetPoint,,,-6.6871248701,54.9846053948,09/07/2020,09/07/2020,Coleraine,284100,416024
700000010622,7e+011,BusCoachTramOnStreetPoint,,,-6.6443645918,55.0069988243,09/07/2020,09/07/2020,Coleraine,286789,418569
700000010623,Mettican,BusCoachTramOnStreetPoint,,,-6.4177467497,54.999330555,09/07/2020,09/07/2020,Coleraine,301307,418020
700000010624,Mettican Bridge,BusCoachTramOnStreetPoint,,,-6.6817180783,54.9946710516,09/07/2020,09/07/2020,Coleraine,284425,417151
700000010625,Youngs Lane,BusCoachTramOnStreetPoint,,,-6.6809648749,55.0004840346,09/07/2020,09/07/2020,Coleraine,284461,417799
700000010626,Arkhill,BusCoachTramOnStreetPoint,,,-6.6787441891,55.0076645004,09/07/2020,09/07/2020,Coleraine,284588,418601
700000010627,Killykergan P O,BusCoachTramOnStreetPoint,,,-6.6753910074,55.0150302299,09/07/2020,09/07/2020,Coleraine,284787,419425
700000010628,Killykergan,BusCoachTramOnStreetPoint,,,-6.6767263964,55.0181529579,09/07/2020,09/07/2020,Coleraine,284695,419771
700000010629,The Two Bridges,BusCoachTramOnStreetPoint,,,-6.6820259353,55.0294892591,09/07/2020,09/07/2020,Coleraine,284332,421026
700000010630,116 Drumcroone Rd,BusCoachTramOnStreetPoint,,,-6.6828135215,55.0351523519,09/07/2020,09/07/2020,Coleraine,284270,421656
700000010631,118 Drumcroone Rd Crevolea,BusCoachTramOnStreetPoint,,,-6.6833768753,55.0384822295,09/07/2020,09/07/2020,Coleraine,284227,422026
700000010632,Blackhill Orange Halll,BusCoachTramOnStreetPoint,,,-6.6843873037,55.0415384564,09/07/2020,09/07/2020,Coleraine,284156,422365
700000010633,142 Drumcroone Rd,BusCoachTramOnStreetPoint,,,-6.6832598638,55.0525396444,09/07/2020,09/07/2020,Coleraine,284205,423591
700000010634,150 Drumcroone Rd,BusCoachTramOnStreetPoint,,,-6.6832848442,55.0565464083,09/07/2020,09/07/2020,Coleraine,284195,424037
700000010635,153 Drumcroone,BusCoachTramOnStreetPoint,,,-6.6833732433,55.0595746909,09/07/2020,09/07/2020,Coleraine,284183,424374
700000010636,Killaig X Roads,BusCoachTramOnStreetPoint,,,-6.6835264287,55.0637766033,09/07/2020,09/07/2020,Coleraine,284164,424841
700000010637,171 Drumcroone Rd,BusCoachTramOnStreetPoint,,,-6.6836415657,55.0709502657,09/07/2020,09/07/2020,Coleraine,284142,425640
700000010638,Moneybrannon Rd,BusCoachTramOnStreetPoint,,,-6.6837690457,55.0751737211,09/07/2020,09/07/2020,Coleraine,284125,426110
700000010639,Killure,BusCoachTramOnStreetPoint,,,-6.682884001,55.084955768,09/07/2020,09/07/2020,Coleraine,284161,427200
