Service Provider Level ,Location ,Address,Town,Postcode,Latitude,Longitude
Stop Smoking Service,Meadowdale Group Practice,Allan House Sowerby Bridge,Halifax,HX6 3AD,53.70680,-1.90949
Stop Smoking Service,Hebden Bridge Group Practice,Valley Medical Centre  Valley Road,Hebden Bridge,HX7 7BZ,53.74403,-2.01094
Stop Smoking Service,Better Living Team,Todwell Centre  32 Burnley Road,Todmorden,OL14 5EZ,53.71576,-2.09708
Stop Smoking Service,Park & Calder,Calder Community Practice  Todmorden Health Centre  Lower George Street,Todmorden,OL14 5RN,53.71365,-2.09215
Yorkshire Smoke Free Calderdale,Tesco Pharmacy,Huddersfield Road,Brighouse,HD6 1RZ,53.70367,-1.77619
Yorkshire Smoke Free Calderdale,Laura Mitchell Centre,Great Albion Street,Halifax,HX1 1YR,53.72483,-1.86382
Yorkshire Smoke Free Calderdale,Illingworth Children's Centre,Cousin Lane,Halifax,HX2 8DQ,53.74315,-1.89087
Yorkshire Smoke Free Calderdale,Illingworth Methodist Church,Keighley Road,Halifax,HX2 9LL,53.75423,-1.89390
Yorkshire Smoke Free Calderdale,Elland Children's Centre,Boxhall Road,Elland,HX5 0BB,53.68563,-1.84072
Yorkshire Smoke Free Calderdale,St Pauls Methodist Church,Tower Hill,Sowerby Bridge,HX6 2EQ,53.70902,-1.91089
